Sno,src_loc,date,time,ang_wdt,vcdaw,spce_spd,fht_spd2,20RS_spd2,accel,mass ,KE,mpa ,src_typ,NOAA,onset_time,hale_class,flr_class,flr_dt,flr_tm,icme_dst_dt,icme_dst_tm,plsm_strt_dt,plsm_strt_tm,plsm_end_dt,plsm_end_tm,comp_strt,comp_end,qual,dv ,v,min_dst_icme ,v_max ,meanB,mc,v_trans ,trans_time ,icme_sz ,Icme_min_Bz,sheath_spd ,sheath_sz ,sheath_dst,sheath Bz
186,N18W64,2012/03/13,17:36,360,1884,1931,2054,1987,45.6,2.3e+16*2,4.1e+32*2,286,AR,11429,17:16,βγδ,M7.9,3/13/12,17:12:00,2012/03/15,13:06:00,2012/03/15,17:00:00,2012/03/16,10:00:00,,,3,170,680,-88,760,9,1,960,43,,,,,,
187,N16E11,2012/03/26,23:12,360,1390,1709,1215,1318,-32.3,1.8e+16*2,1.7e+32*2,92,AR,11443,22:45,α,,,,,,2012/03/29,18:00:00,2012/04/03,15:00,,,,,354.2,-145,,,,619.57,66,,,,,,
188,N11W19,2012/05/12,0:00,360,805,1289,755,760,-6.6*1,4.6e+15*2,1.5e+31*2,107,AR,11476,5/11/11 23:29,βγδ,,5/11/12,23:12,2012/05/16,16:00:00,2012/05/16,16:00:00,2012/05/17,22:00:00,,,2,0,370,-39,390,10,2,370,111,,,,,,
189,S17W00,2012/06/14,14:12,360,987,1254,977,983,-1.2,1.2e+16*2,5.8e+31*2,144,AR,11504,13:40,βγδ,M1.9,6/14/12,12:52,2012/06/16,20:19:00,2012/06/16,23:00:00,2012/06/17,12:00,,,1,80,440,-86,510,28,2,770,53,,,,,,
190,S17E03,2012/07/02,8:36,360,1074,1165,878,990,-26.9,6.0e+15*2,3.5e+31*2,85,AR,11515,8:14,βγ,,,,2012/07/04,19:00:00,2012/07/05,0:00:00,2012/07/06,8:00,,,3,50,470,-19,540,8,1,730,56,,,,,,
191,N16W36,2012/07/04,17:24,360,662,830,553,0,-37.6*1,3.4e+14*2,7.5e+29*2,124,AR,11513,16:57,βγ,M5.6,7/4/12,16:33,2012/07/08,8:00:00,2012/07/09,0:00:00,2012/07/09,14:00,,,2,20,410,-78,450,12,2,480,86,,,,,,
192,S15W01,2012/07/12,16:48,360,885,1405,1092,2265,195.6*1,6.9e+15*2,2.7e+31*2,158,AR,11520,15:50,βγδ,X1.4,7/12/12,15:37,2012/07/14,18:09:00,2012/07/15,6:00:00,2012/07/17,5:00,,,1,220,490,-139,670,16,2,850,48,,,,,,
193,S13W88,2012/07/19,5:24,360,1631,1631,1586,1616,-8,2.1e+16*2,2.8e+32*2,275,AR,11520,5:14,βγδ,M7.7,7/19/12,4:17,2012/07/21,16:12:00,2012/07/22,11:00:00,2012/07/23,16:00,,,3,,1631,-28,,,,707,58,,,,,,
194,S25E59,2012/08/31,20:00,360,1442,1495,1454,1446,2,2.0e+16*2,2.1e+32*2,90,AR,11563,19:43,α,C8.4,8/31/12,19:32,2012/09/03,12:13:00,2012/09/04,11:00:00,2012/09/05,2:00,,,2,120,430,-61,440,9,0,650,63,,,,,,
195,N06W34,2012/09/28,0:12,360,947,1093,716,817,-27.1,9.2e+15*2,4.1e+31*2,251,AR,11577,23:43,βγ,C3.7,9/27/12,23:36,2012/09/30,11:31:00,2012/09/30,14:00:00,2012/09/30,20:00,,,3,30,310,-39,310,8,0,700,59,,,,,,
196,N08W55,2012/09/29,9:12,226,558,,613,596,4.3*1,5.0e+15*2,7.8e+30*2,268,AR,11577,8:23,βγ,,,,2012/10/02,22:00:00,2012/10/02,22:00:00,2012/10/03,6:00,,,3,0,320,-32,320,6,1,490,84,,,,,,
197,S24E22,2012/11/09,15:12,276,559,,601,603,4.0*1,5.0e+15*2,7.8e+30*2,157,AR,11610,14:32,α,B5.9,11/9/12,14:12,2012/11/12,23:11:00,2012/11/13,8:00:00,2012/11/14,3:00,,,1,50,380,-108,460,21,2,530,78,,,,,,
198,N15W26,2012/11/20,12:00,360,619,827,652,639,2.6*1,8.4e+15*2,1.6e+31*2,322,AR,11619,11:41,βγ,C1.9,11/20/12,11:18,2012/11/23,21:52:00,2012/11/24,12:00:00,2012/11/25,10:00,,,2,,619,-40,,,,508,81,,,,,,
199,N08W00,2012/11/21,16:00,360,529,942,420,410,-9.4*1,2.3e+15*2,3.2e+30*2,194,AR,11618,15:13,βγ,M3.5,,,2012/11/23,21:52:00,2012/11/24,12:00:00,2012/11/25,10:00,,,2,70,380,-40,410,12,1,770,53,,,,,,
200,S38W10,2012/11/23,13:48,360,519,636,498,496,-1.9*1,6.9e+15*2,9.3e+30*2,136,PE,,13:20,,,,,2012/11/26,5:12:00,2012/11/26,12:00:00,2012/11/28,5:00,,,2,90,450,-8,530,6,0,660,62,,,,,,
201,N11E12,2013/03/15,7:12,360,1063,1366,1247,1161,25.8,1.3e+16*2,7.5e+31*2,112,AR,11692,6:27,α,M1.1,3/15/13,5:46,2013/03/17,5:59:00,2013/03/17,15:00:00,2013/03/19,16:00,,,1,230,520,-132,720,9,2,890,46,,,,,,
202,N09E12,2013/04/11,7:24,360,861,1369,792,819,-8.1,2.2e+16*2,8.2e+31*2,85,AR,11719,6:55,βγ,M6.5,4/11/13,6:55,2013/04/13,22:54:00,2013/04/14,17:00:00,2013/04/15,23:00,,,2,100,410,-6,520,9,2,660,62,,,,,,
203,N12E57,2013/05/17,9:12,360,1345,1412,1319,1337,-3.7,5.8e+15*2,5.2e+31*2,50,AR,11748,8:47,βγδ,M3.2,5/17/13,8:43,2013/05/19,22:31:00,2013/05/19,22:33:00,2013/05/20,10:12,,,3,,1345,-47,,,,678,61,,,,,,
204,N15W70,2013/05/22,13:25,360,1466,1491,1394,1438,-13.2,3.3e+16*2,3.5e+32*2,287,AR,11745,12:57,βγδ,M5.0,5/22/13,13:08,2013/05/25,20:00:00,2013/05/25,23:00:00,2013/05/26,22:00,,,2,,1466,-47,,,,529,78,,,,,,
205,S16E61,2013/06/23,22:36,174,174,,287,513,10.8*1,3.9e+14*2,5.9e+28*2,302,AP,11778,21:10,αγ,M2.9,,,2013/06/27,14:38:00,2013/06/28,2:00:00,2013/06/29,12:00,,,1,70,390,-102,450,10,2,470,87,,,,,,
206,,2013/07/01,20:24,208,819,,888,851,6.2,1.3e+16*2,4.5e+31*2,90,PE,,20:15,,,,,2013/07/05,1:00:00,2013/07/05,1:00:00,2013/07/07,16:00,,,2,10,350,-87,370,10,2,540,76,,,,,,
207,S09W30,2013/07/09,15:12,360,449,713,382,290,-7.7*1,3.4e+15*2,3.5e+30*2,174,AR,11785,14:37,βγδ,C2.3,7/9/13,14:00,2013/07/12,17:14:00,2013/07/13,5:00:00,2013/07/15,0:00,,,1,60,430,-81,500,13,2,563,73,,,,,,
208,S31W18,2013/08/20,8:12,360,784,993,791,787,0.6,1.4e+16*2,4.2e+31*2,210,PE,,7:57,,C1.1,8/20/13,6:16,2013/08/22,19:26:00,2013/08/23,20:00:00,2013/08/25,3:00,,,3,40,470,-40,570,6,1,700,59,,,,,,
209,,2013/08/21,5:12,228,385,,338,321,-3.4*1,3.6e+15*2,2.7e+30*2,17,data gap jhelio,,,,B9.2,8/21/13,3:36,2013/08/24,00:03 (S),2013/08/25,3:00:00,2013/08/26,3:00,,,3,30,400,-29,520,4,1,620,66,,,,,,
210,N17W29,2013/09/29,22:12,360,1179,1370,1142,1164,-5.3,2.2e+16*2,1.5e+32*2,343,AR,11850,21:54,βγ,C1.2,9/29/13,21:43,2013/10/02,1:54:00,2013/10/02,23:00:00,2013/10/03,22:00,,,1,220,470,-72,630,7,2,800,51,,,,,,
211,S15W37,2013/10/06,14:43,360,567,840,710,822,21.5*1,4.6e+14*2,7.3e+29*2,10,AR,11859,13:23,α,C1.1,10/6/13,13:37,2013/10/08,20:20:00,2013/10/09,9:00:00,2013/10/11,0:00,,,1,100,480,-69,650,6,0,780,53,,,,,,
212,S06E69,2013/10/25,15:12,360,1081,1103,881,1015,-25.2,7.1e+15*2,4.2e+31*2,68,AR,11882,14:52,β,X2,10/25/13,14:51,,,2013/10/29,7:00:00,2013/10/31,16:00,,,3,,354.1,-52,,,,376.93,109,,,,,,
213,N03W139,2013/11/02,4:48,360,828,998,585,708,-26.4,1.6e+16*2,5.4e+31*2,239,AR,11885,4:17,β,C8,11/2/13,4:40,,,2013/11/07,0:00:00,2013/11/07,18:00,,,3,,359.1,-54,,,,359.26,114,,,,,,
214,S26W180,2013/11/08,3:24,360,497,759,659,625,11.7,8.8e+15*2,1.1e+31*2,199,AR,11890,2:34,βγδ,X1.1,11/8/13,4:20,2013/11/11,17:00:00,2013/11/11,17:00:00,2013/11/12,3:00,,,2,0,460,-30,480,7,1,480.3 (420-520),86,,,,,,
215,S21W64,2013/12/12,3:36,276,1002,,876,943,-15.3,1.4e+16*2,6.8e+31*2,236,AR,11912,3:15,α,C4.6,12/12/13,3:11,2013/12/15,13:00:00,2013/12/15,16:00:00,2013/12/16,5:00,,,2,30,460,-23,500,7,2,510,86,,,,,,
216,S12W02,2014/02/12,6:00,360,373,725,478,494,7.3*1,5.0e+15*2,3.5e+30*2,328,AR,11974,4:25,βγδ,M3,2/12/14,3:52,2014/02/15,13:16:00,2014/02/16,5:00:00,2014/02/16,16:00,,,2,100,380,-24,450,15,2,530,86,22,-8.3,423,34,-13,-6.6
217,S24E34,2014/02/18,1:36,360,779,942,674,712,-11.3,1.1e+16*2,3.5e+31*2,44,AR,11982,1:05,β,,,,2014/02/20,3:18:00,2014/02/21,2:00:00,2014/02/22,12:00,,,2,180,490,-95,690,6,0,840,49,,,,,,
218,S12E82,2014/02/25,1:25,360,2147,2153,1809,2069,-158,2.2e+16*2,5.0e+32*2,73,AR,11990,0:45,α,X4,2/25/14,0:39,,,2014/02/27,16:00:00,2014/02/28,14:00,,,3,,435.8,-99,,,,570.2,72,,,,,,
219,S12E40,2014/03/23,3:36,360,820,986,841,834,2.3,8.3e+15*2,2.8e+31*2,97,AR,12014,3:17,βγ,C3,3/23/14,2:27,,,2014/03/25,19:30:00,2014/03/27,7:00,,,2,,395.4,-24,,,,561.57,73,,,,,,
220,N11E53,2014/04/02,13:36,360,1471,1564,1464,1468,-1.2,1.4e+16*2,1.5e+32*2,60,AR,12027,13:22,α,M6,4/2/14,13:18,2014/04/05,10:00:00,2014/04/05,22:00:00,2014/04/07,5:00,,,2,40,380,-15,500,13,2,610,67,61,-4.8,472,29,-15,-6.9
221,S06E154,2014/04/08,23:12,360,514,709,365,339,-13.5,6.7e+15*2,8.8e+30*2,115,AR,12031,22:45,β,C1.9,,,,,2014/04/11,4:00:00,2014/04/12,19:00,,,1,70,350.7,-80,,,,716.08,57,,,,,,
222,S20W34,2014/04/18,13:25,360,1203,1359,1279,1245,13.5,2.0e+16*2,1.4e+32*2,238,AR,12036,12:38,βγ,M7,4/18/14,12:31,2014/04/20,10:56:00,2014/04/21,7:00:00,2014/04/22,9:00,,,2,200,540,-32,700,6,1,920,45,73,-3.6,634,66,-23,-4.1
223,S29E40,2014/06/04,12:48,360,467,555,1258,1035,43.7,1.6e+16*2,1.7e+31*2,160,AP,12080,14:58 / 12:48,β,,,,2014/06/07,16:52:00,2014/06/08,20:00:00,2014/06/10,17:00,,,2,60,480,-37,610,9,0,570,72,112,-2.1,487,68,-34,-4.3
224,S10W05,2014/08/15,17:48,360,342,679,313,303,-1.8*1,2.3e+15*2,1.3e+30*2,323,AP,12139,16:56,β,,,,2014/08/19,6:57:00,2014/08/19,16:00:00,2014/08/21,5:00,,,1,40,360,-28,440,17,2,500,82,69,-8.8,355,17,,-3.7
225,N12E29,2014/09/09,0:06,360,920,1080,852,877,-8.4,1.1e+16*2,4.9e+31*2,59,AR,12158,9/8/14 23:49,βγδ,M4,9/8/14,23:12,,,2014/09/11,23:00:00,2014/09/14,3:00,,,2,80,613.8,-75,,,,441.61,93,,,,,,
226,N14E02,2014/09/10,18:00,360,1267,1652,950,1119,-51.6,2.1e+16*2,1.7e+32*2,175,AR,12158,17:39,βγδ,X1.6,,,2014/09/12,15:53:00,2014/09/12,22:00:00,2014/09/14,2:00,,,1,230,600,-88,720,20,2,920,45,87,,594,19,-20,-9.5
227,N15E33,2014/11/07,18:08,293,795,,632,643,-24.4,1.2e+16*2,3.9e+31*2,75,AR,12205,17:14,βγδ,,,,2014/11/10,2:20:00,2014/11/11,7:00:00,2014/11/11,20:00,,,3,50,480,-65,520,9,0,740,56,,,,,,
228,S20E09,2014/12/17,5:00,360,587,855,559,571,-2.1,1.2e+16*2,2.0e+31*2,162,AR,12242,4:06,βγδ,M8,12/17/14,4:25,2014/12/21,19:11:00,2014/12/22,4:00:00,2014/12/22,17:00,,,2,70,,-71,430,16,2,380,108,26,-12.7,412,19,-50,-15.5
229,S06E09,2015/01/03,3:12,153,163,,258,302,3.7,2.8e+15*2,3.7e+29*2,144,AR,12253,1/2/15 22:14,βγδ,,,,2015/01/07,6:16:00,2015/01/07,7:00:00,2015/01/07,20:00,,,1,30,450,-107,470,16,2,420,98,30,-17.1,468,2,-21,-1.2
230,S22W25,2015/03/15,1:48,360,719,932,611,682,-9,3.0e+16*2,7.7e+31*2,240,AR,12297,1:14,βγδ,C9,3/15/15,1:15,2015/03/17,4:45:00,2015/03/17,13:00:00,2015/03/18,5:00,,,1,90,560,-234,620,20,2,840,49,46,-18.9,553,24,-73,-14.9
231,N10E27,2015/04/06,6:00,160,501,,397,458,-6.2,1.1e+16*2,1.3e+31*2,63,AR,12318,5:18,β,,,,2015/04/09,10:11:00,2015/04/09,11:00:00,2015/04/09,22:00,,,3,30,380,-9,390,12,0,500-660,#VALUE!,,,,,,
232,S15E49,2015/05/02,20:24,360,335,408,430,394,3.8,1.3e+16*2,7.2e+30*2,115,AR,12335,19:38,β,C2.3,,,2015/05/07,21:00:00,2015/05/07,21:00:00,2015/05/09,4:00,,,1,0,390,-15,400,6,0,320-340,#VALUE!,,,,,,
233,N12E16,2015/06/21,2:36,360,1366,1740,1477,1434,21.2*1,9.6e+15*2,9.0e+31*2,72,AR,12371,2:10,βγδ,,,,2015/06/22,18:33:00,2015/06/23,2:00:00,2015/06/24,14:00,,,2,190,610,-198,740,14,1,1040,40,114,-23.1,644,25,-121,-26.3
234,N12W08,2015/06/22,18:36,360,1209,1573,1065,1147,-25.1,4.4e+15*2,3.2e+31*2,358,AR,12371,18:06,βγδ,,,,2015/06/24,13:29:00,2015/06/25,10:00:00,2015/06/26,6:00,,,2,170,550,-81,720,5,0,960,43,57,-7.2,648,69,-69,-0.9
235,,2015/07/10,2:24,138,348,,525,488,8.2*1,4.8e+15*2,2.9e+30*2,175,PE,,1:44,,,,,2015/07/13,1:38:00,2015/07/13,6:00:00,2015/07/14,15:00,,,2,40,490,-68,650,8,0,580,71,84,-6.9,623,14,-31,-4.4
236,S19E12,2015/09/04,19:36,64,217,,269,389,5.2*1,1.80E+15,4.20E+29,129,AR,12410,17:03,β,,,,2015/09/07,14:00:00,2015/09/08,0:00:00,2015/09/09,15:00,,,1,190,460,-105,600,15,2,620,66,93,-8.3,582,30,-70,-7.2
237,S20W27,2015/09/18,5:00,131,823,,1196,1030,35.5,7.8e+15*2,2.7e+31*2,188,AR,12415,4:01,βγ,C2.9,,,2015/09/20,6:04:00,2015/09/21,8:00:00,2015/09/22,1:00,,,2,120,510,-79,600,5,0,850,48,45,,546,73,-75,-3.2
238,S11W27,2015/10/22,3:12,360,817,1100,873,850,6,1.2e+16*2,4.0e+31*2,206,AR,12434,2:33,β,,,,2015/10/24,18:54:00,2015/10/25,14:00:00,2015/10/27,4:00,,,2,60,430,-16,490,7,1,650,63,,,,,,
239,N09W04,2015/11/04,14:48,360,578,987,650,701,10.1*1,6.6e+15*2,1.1e+31*2,288,AR,12443,13:57,βδ,M3.7,11/4/15,13:31,2015/11/06,18:18:00,2015/11/07,6:00:00,2015/11/08,16:00,,,1,90,500,-87,680,13,2,810,51,88,-10.3,609,37,-85,-8.8
240,S15W15,2015/12/16,9:36,360,579,937,529,487,-6.7*1,2.3e+15*2,3.9e+30*2,334,AR,12468,8:54,β,,,,2015/12/19,16:16:00,2015/12/20,3:00:00,2015/12/21,20:00,,,1,110,400,-166,490,15,2,540,76,85,-18.1,473,26,,-1.6
241,S23W11,2015/12/28,12:12,360,1212,1471,1243,1228,4.6*1,1.9e+16*2,1.4e+32*2,163,AR,12473,11:55,βδ,M1.9,12/28/15,11:20,2015/12/31,0:50:00,2015/12/31,17:00:00,2016/01/02,11:00,,,2,90,440,-116,480,10,2,690,60,96,-16.1,445,37,-48,-10.2
242,S22W11,2016/01/14,23:24,360,191,298,227,286,2.3*1,2.9e+15*2,5.4e+29*2,234,AR,12480,21:29,β,,,,2016/01/18,21:57:00,2016/01/19,10:00:00,2016/01/21,0:00,,,2,70,370,-93,400,14,2,440,93,73,-11.5,345,22,-13,-6.5
243,N10E40,2016/04/10,11:12,136,543,,547,547,0.4,4.6e+15*2,6.7e+30*2,25,AR,12529,10:25,β,,,,2016/04/14,7:35:00,2016/04/14,9:00:00,2016/04/15,4:00,,,3,30,420,-61,480,8,1,460,89,41,-8.5,464,3,-19,-0.3
244,N04W08,2016/07/17,10:48,360,340,750,405,390,3.1*1,6.1e+14*2,3.5e+29*2,102,AR,12565,9:36,β,C1.4,7/17/16,5:36,2016/07/19,23:05:00,2016/07/20,7:00:00,2016/07/22,15:00,,,1,110,440,-26,570,10,2,710,58,128,-5.5,460,19,-23,-8.9
245,,2016/07/28,22:24,120,265,,368,395,5.2*1,3.90E+14,1.40E+29,251,PE,,21:03,,,,,2016/08/02,14:00:00,2016/08/02,14:00:00,2016/08/03,3:00,,,2,10,420,-16,460,20,2,370,111,28,,,,,
246,N08W46,2016/11/05,4:24,33,350,,405,462,5.1*1,5.90E+14,3.60E+29,61,AP,12605,3:27,β,,,,2016/11/09,6:04:00,2016/11/10,0:00:00,2016/11/10,16:00,,,2,50,360,-57,370,11,2,430,96,30,-9.5,338,31,-4,-5.9
247,S11W29,2017/05/23,5:00,243,259,,338,367,4.1*1,8.5e+15*2,2.8e+30*2,281,AR,12660,3:41,β,,,,2017/05/27,15:34:00,2017/05/27,22:00:00,2017/05/29,14:00,,,1,80,360,-118p,390,16,2,400,103,75,-21.4,365,12,,-6.6
248,S06W29,2017/07/14,1:25,360,1200,1422,1199,1200,-0.1,2.3e+16*2,1.6e+32*2,230,AR,12665,1:12,β,,,,2017/07/16,5:59:00,2017/07/16,15:00:00,2017/07/17,20:00,,,1,90,520,-72,620,13,2,810,51,78,-8.5,448,21,-64,-20.4
249,S10W12,2017/09/04,20:36,360,1418,1831,1636,1611,47.5,7.6e+15*2,7.6e+31*2,184,AR,12673,20:14,βγ,,,,2017/09/06,23:47:00,2017/09/07,20:00:00,2017/09/08,4:00,,,2,170,490,-2,580,10,1,820,50,20,-8.4,520,56,-23,-6.2
250,S08W33,2017/09/06,12:24,360,1571,1819,1569,1570,-0.3,2.9e+16*2,3.6e+32*2,201,AR,12673,12:01,βγδ,X9.3,9/7/17,11:53,2017/09/07,23:02:00,2017/09/08,11:00:00,2017/09/10,21:00,,,1,220,590,-122,800,7,1,1210,34,177,-13.9,718,46,-124,-23.6
251,,2018/03/06,1:25,136,127,,157,284,3.0*1,2.0e+14*2,1.6e+28*2,250,,,,,,,,2018/03/09,18:09:00,2018/03/09,22:00:00,2018/03/11,0:00,,,1,80,410,-39p,450,14,2,470,87,55,-10.3,423,9,,-4.7
252,S06E29,2018/08/20,21:24,120,126,,216,363,5.4*1,2.20E+14,1.70E+28,266,AR,12719,19:43,β,,,,2018/08/25,2:00:00,2018/08/25,12:00:00,2018/08/26,12:00,,,2,30,410,-175p,440,16,2,410,100,51,-14.7,407,21,-1,
253,S25W09,2020/12/07,16:24,360,1407,1697,1308,1377,-16.4,4.6e+15*2,4.5e+31*2,194,AR,12790,15:58,α,C7.4,12/7/20,15:46,2020/12/10,2:10:00,2020/12/10,23:00:00,2020/12/13,4:00,,,2,110,440,-10,570,5,0,720,57,,,,,,
254,N21E50,2021/02/20,11:24,207,555,,821,710,16.7,4.4e+15*2,6.9e+30*2,114,AR,12803,10:59,α,,2/20/21,9:55,2021/02/23,2:00:00,2021/02/23,8:00:00,2021/02/24,15:00,,,3W,40,510,-25p,590,5,0,670,61,,,,,,
255,N18E43,2021/05/09,12:00,284,266,,250,167,-2.4*1,2.5e+14*2,9.0e+28*2,252,AR,12822,9:39,β,C4.0,5/9/21,9:00,2021/05/12,6:37:00,2021/05/12,15:00:00,2021/05/14,20:00,,,2,120,420,-61p,500,8,2,620,66,,,,,,
256,N21W01,2021/05/23,10:12,121,392,,370,302,-3.2*1,6.6e+14*2,5.1e+29*2,261,AR,12824,9:23,βγ,C2.4,,,2021/05/26,12:44:00,2021/05/26,22:00:00,2021/05/29,5:00,,,3,40,410,-28p,430,9,0,550-700,#VALUE!,,,,,,
257,N19E45,2021/08/23,6:48,360,440,546,565,552,8.5*1,3.3e+15*2,3.2e+30*2,80,AR,12859,6:02,β,C1.2,8/22/21,21:35,2021/08/27,1:14:00,2021/08/27,12:00:00,2021/08/28,15:00,,,1,40,380,-82p,420,12,2,460,89,,,,,,
258,S28E14,2021/09/23,5:48,42,264,,256,233,-0.8*1,4.10E+14,1.40E+29,188,AR,12871,4:36,βδ,M2.8,,,2021/09/27,0:00:00,2021/09/27,0:00:00,2021/09/27,21:00,,,2,10,390,7p,400,10,2,370-530,#VALUE!,,,,,,
259,S27W51,2021/09/28,6:24,265,524,,581,553,3.5,2.9e+15*2,4.0e+30*2,253,AR,12871,5:40,βγ,C1.6,9/28/21,5:54,2021/10/01,10:00:00,2021/10/01,11:00:00,2021/10/02,13:00,,,2,20,480,-30p,560,11,2,550,75,,,,,,
260,N20W01,2021/10/09,7:12,360,712,1072,611,650,-9.8,3.0e+15*2,7.7e+30*2,265,AR,12882,6:42,βγ,M1.6,10/9/21,6:19,2021/10/12,2:26:00,2021/10/12,16:00:00,2021/10/14,0:00,,,2,60,440,-65p,,,,,#VALUE!,,,,,,
261,N16W09,2021/11/02,2:48,360,1473,1855,1302,1397,-31.1,6.1e+15*2,6.6e+31*2,28,AR,12891,2:38,β,M1.7,11/2/21,1:20,2021/11/03,19:42:00,2021/11/04,7:00:00,2021/11/05,5:00,,,2,100,,-105,,,,1016,40,,,,,,
262,S24E33,2021/11/24,14:26,211,390,,458,447,4,4.4e+15*2,3.3e+30*2,171,AR,12898,13:27,β,,11/24/21,10:29,2021/11/27,22:51:00,2021/11/28,10:00:00,2021/11/29,2:00,,,2,70,370,-12p,400,10,2,510,81,,,,,,
263,N08W32,2022/01/16,20:48,210,475,,457,455,-1.5*1,2.3e+15*2,2.6e+30*2,329,AR,12929,20:14,β,,,,2022/01/18,23:40:00,2022/01/19,5:00:00,2022/01/20,10:00,,,2,80,610,-44p,680,5,1,820,50,,,,,,
264,N17E11,2022/01/29,23:36,360,530,800,434,379,-10.1,3.4e+15*2,4.7e+30*2,58,AR,12936,23:06,β,,,,2022/02/01,22:23:00,2022/02/02,16:00:00,2022/02/03,11:00,,,2,110,460,-66,500,14,2,590,70,,,,,,
265,N12W09,2022/03/28,12:00,360,702,1122,438,0,-47,1.5e+16*2,3.7e+31*2,127,AR,12975,11:38,β,,,,2022/03/31,2:24:00,2022/03/31,12:00:00,2022/04/01,12:00,,,1,60,490,-19p,600,20,2,"659, 761",#VALUE!,,,,,,
266,S31W05,2022/04/11,5:48,360,940,1216,1039,1144,26.3*1,1.8e+15*2,7.8e+30*2,66,AR,12987,5:11,/,,,,2022/04/14,9:00:00,2022/04/14,13:00:00,2022/04/15,2:00,,,2,20,520,-81p,550,18,2,550,75,,,,,,
267,N17E35,2022/07/03,4:00,109,738,,610,686,-10.9,2.80E+15,7.60E+30,277,AR,13046,3:30,α,,,,2022/07/07,9:00:00,2022/07/07,12:00:00,2022/07/08,8:00,,,1,30,380,-81p,400,19,2,410,100,,,,,,
268,S20W35,2022/07/05,4:36,259,747,,625,353,-27.0*1,1.6e+15*2,4.5e+30*2,194,AR,13047,4:06,β,,,,2022/07/08,2:00:00,2022/07/08,11:00:00,2022/07/08,19:00,,,2,20,400,-37p,410,10,1,600,69,,,,,,
269,N15E57,2022/07/15,15:48,187,320,,466,486,8.2,4.7e+15*2,2.4e+30*2,352,AR,13058,14:26,β,,,,2022/07/18,21:19:00,2022/07/19,5:00:00,2022/07/20,11:00,,,1,100,440,-61p,490,10,2,530,78,,,,,,
270,S24W19,2022/08/16,15:24,92,467,,585,551,7.6,7.50E+14,8.20E+29,184,AR,13078,14:08,βγδ,,,,2022/08/19,17:31:00,2022/08/20,8:00:00,2022/08/20,18:00,,,3,50,490,-38p,700,5,1,560,73,,,,,,
271,N18E57,2022/09/07,22:36,77,261,,272,321,1.7*1,1.80E+14,6.20E+28,184,AP,13096,21:11,α,,,,2022/09/12,7:00:00,2022/09/12,7:00:00,2022/09/12,21:00,,,3w,0,380,-17p,400,6,1,400,103,,,,,,
272,N19E12,2022/12/30,16:53,64,452,,,,,,,,AR,13176,/,β,,,,2023/01/03,21:00:00,2023/01/04,2:00:00,2023/01/05,22:00,,,1,30,380,-61q,430,18,2,420,98,,,,,,
273,N25W44,2023/02/25,19:24,360,1170,1266,1237,1205,9.4,2.3e+16*2,1.5e+32*2,284,AR,13229,19:08,β,,,,2023/02/27,10:00:00,2023/02/27,20:00:00,2023/02/28,17:00,,,3,110,650,-132q,820,10,0,1080,38,,,,,,
274,S20E07,2023/03/12,19:12,360,649,812,751,701,8.2,2.2e+16*2,4.7e+31*2,182,AR,13250,18:30,β,,,,2023/03/15,4:27:00,2023/03/15,21:00:00,2023/03/17,7:00,,,2,110,490,-38q,570,7,0,730,56,,,,,,
275,N18E20,2023/03/20,14:42,360,727,882,921,1644,101.7,5.8e+15*2,1.5e+31*2,37,AR,13258,13:36,α,,,,2023/03/23,5:00:00,2023/03/23,14:00:00,2023/03/24,7:00,,,1,30,450,-163q,490,20,2,560-670,#VALUE!,,,,,,
276,S20W15,2023/04/21,18:12,360,1284,1567,1100,1216,-28.1,1.5e+16*2,1.3e+32*2,180,AR,13283,17:53,β,,,,2023/04/23,17:38:00,2023/04/24,1:00:00,2023/04/25,19:00,,,2,140,520,-212q,680,17,2,880,47,,,,,,
277,N16W07,2023/05/07,23:12,360,1075,1374,982,1032,-12.2,7.4e+15*2,4.3e+31*2,274,AR,13296,22:51,β,,,,2023/05/09,22:50:00,2023/05/10,12:00:00,2023/05/12,6:00,,,2,120,550,-18q,660,6,0,870,47,,,,,,
278,N16W34,2023/05/09,19:00,360,1209,1403,843,1113,-45.9,1.3e+16*2,9.3e+31*2,297,AR,13296,18:44,βγ,,,,2023/05/12,6:33:00,2023/05/12,12:00:00,2023/05/13,21:00,,,2,110,480,-16q,580,7,0,700,59,,,,,,
279,S22E12,2023/07/04,4:12,276,535,,642,635,8.9,8.5e+15*2,1.2e+31*2,154,AR,13359,3:36,β,,,,2023/07/07,12:00:00,2023/07/07,12:00:00,2023/07/08,15:00,,,3w,0,450,-33q,500,6,0,520,79,,,,,,
280,S10W52,2023/07/10,4:00,360,1160,1249,1001,1084,-23.4,6.2e+15*2,4.2e+31*2,204,AR,13366,3:41,β,,,,2023/07/14,16:11:00,2023/07/14,20:00:00,2023/07/15,10:00,,,2,40,380,-34q,430,12,1,380-610,#VALUE!,,,,,,
281,S15E07,2023/07/14,19:03,216,862,,784,0,-61.5*1,----,----,188,AR,13370,18:42,β,,,,2023/07/16,19:22:00,2023/07/17,20:00:00,2023/07/19,4:00,,,1,100,500,-53q,570,6,1,860,48,,,,,,
