Sno,src_loc,date,time,ang_wdt,vcdaw,spce_spd,fht_spd2,20RS_spd2,accel,mass ,KE,mpa ,src_typ,NOAA,onset_time,hale_class,flr_class,flr_dt,flr_tm,icme_dst_dt,icme_dst_tm,plsm_strt_dt,plsm_strt_tm,plsm_end_dt,plsm_end_tm,comp_strt,comp_end,qual,dv ,v,min_dst_icme ,v_max ,meanB,mc,v_trans ,trans_time ,icme_sz ,Icme_min_Bz,sheath_spd ,sheath_sz ,sheath_dst,sheath Bz
36,S15W05,1999/07/28,9:06,360,462,845,443,436,-1.9*1,1.9e+14*2,2.1e+29*2,6,AR,8649,8:20,β,M2.3,,,1999/07/31,18:37:00,1999/07/31,19:00:00,1999/08/02,6:00,0,ns,3,100,480,-39,650,5,1,510,81,,,,,,
37,S31W22,1999/08/09,3:26,212,395,,361,288,-4.1*1,1.0e+15*2,8.1e+29*2,183,AR,8657,2:39,β,,,,1999/08/11,23:00:00,1999/08/12,3:00:00,1999/08/14,0:00,16,0,3,40,380,-13,420,6,0,615,67,,,,,,
38,N23E27,1999/08/17,13:31,261,238,,238,475,7.8,----,----,29,AR,8668,12:44,β,C2.6,,,1999/08/20,23:00:00,1999/08/20,23:00:00,1999/08/23,11:00,31,6,2,0,460,-66,570,7,1,510,81,,,,,,
39,S20W05,1999/09/20,6:06,360,604,900,549,357,-14.5*1,8.9e+14*2,1.6e+30*2,14,AR,8704,5:29,β,,,,1999/09/22,12:22:00,1999/09/22,19:00:00,1999/09/24,3:00,0,0,1,120 S,530,-173,600,1,0,770,53,,,,,,
40,N13W33,1999/10/18,0:06,240,144,,263,290,3.5*1,----,----,184,AR,8731,10/17/99 21:21,βγδ,,,,1999/10/21,2:25:00,1999/10/21,8:00:00,1999/10/22,7:00,14,0,2,30 S,480,-237,550,20,0,561,73,,,,,,
41,S19E11,2000/01/18,17:54,360,739,1077,665,697,-7.1,6.9e+15*2,1.9e+31*2,45,AR,8831,17:13,β,M3.9,,,2000/01/22,00:23(A),2000/01/22,17:00:00,2000/01/23,2:00,0,0,2,30 S,380,-97,400,16,1,530,78,,,,,,
42,N25E26,2000/02/08,9:30,360,1079,1239,874,904,-35.3*1,7.6e+15*2,4.4e+31*2,50,AR,8858,9:10,β,M1.3,,,2000/02/11,2:58:00,2000/02/11,16:00:00,2000/02/11,20:00,0,0,1,60 S,420,-25,510,7,0,630,65,,,,,,
43,N31E04,2000/02/10,2:30,360,944,1108,1003,983,11.4,6.4e+13*2,2.8e+29*2,340,AR,8858,1:39,β,C7.3,,,2000/02/11,23:52:00,2000/02/12,12:00:00,2000/02/13,0:00,-3,0,2,180 S,540,-133,590,13,2,915,45,,,,,,
44,N26W23,2000/02/12,4:31,360,1107,1280,1047,1086,-8.3*1,1.6e+15*2,9.5e+30*2,20,AR,8858,4:08,β,M1.7,,,2000/02/14,7:31:00,2000/02/14,12:00:00,2000/02/16,8:00,0,0,3,100 S,520,-67,680,5,0,815,50,,,,,,
45,S29E07,2000/02/17,21:30,360,728,973,545,581,-22.9,1.6e+16*2,4.2e+31*2,184,AR,8872,20:30,β,M1.3,,,2000/02/20,21:39:00,2000/02/21,5:00:00,2000/02/22,12:00,0,0,2,120 S,380,-26,460,15,2,560,73,,,,,,
46,N18W55,2000/04/04,16:32,360,1188,1217,1232,1199,12.8,4.5e+15*2,3.2e+31*2,265,AR,8933,14:42,β,C9.7,,,2000/04/06,16:39:00,2000/04/07,6:00:00,2000/04/08,6:00,-7,-15,2,220 S,560,-288,620,6,1,860,48,,,,,,
47,S22E20,2000/04/15,10:35,>176,716,,605,458,-19.6,4.3e+14*2,1.1e+30*2,148,AR,8955,10:12,β,M4.3,,,2000/04/18,20:00:00,2000/04/18,20:00:00,2000/04/19,14:00,8,0,3,30,460,-14,470,10,1,510,81,,,,,,
48,S11W11,2000/04/29,4:30,109,551,,584,571,2.5,1.10E+16,1.70E+31,123,AR,8976,3:52,β,,,,2000/05/02,10:45 (A),2000/05/02,20:00:00,2000/05/05,10:00,nc,ns,3,150 S,500,-37,860,6,0,530,78,,,,,,
49,N14E19,2000/05/10,20:06,>205,641,,525,472,-15.5,4.4e+15*2,9.0e+30*2,65,AR,8990,19:25,β,C8.7,,,2000/05/13,17:00:00,2000/05/13,17:00:00,2000/05/14,18:00:00,0,ns,2,100,500,-2,600,8,0,603,68,,,,,,
